name;date;an;feuille;moy_intercepteS;ecart_type_intercepteS;moy_intercepte;ecart_type_intercepte;surface_moy
Mercia;19/04/2011;2011;F1;4;55;3;1;29,4
Mercia;19/04/2011;2011;F2;5;92;2;65;21,8
Mercia;19/04/2011;2011;F3;7;37;4;34;12,9
Mercia;19/04/2011;2011;F4;0;0;74;73;6,8
Mercia;11/05/2011;2011;F1;3;15;1;74;23,5
Mercia;11/05/2011;2011;F2;3;63;1;9;31,1
Mercia;11/05/2011;2011;F3;2;73;1;16;29,7
Mercia;11/05/2011;2011;F4;3;72;1;77;21,8
Rht3;19/04/2011;2011;F1;8;84;5;49;24,6
Rht3;19/04/2011;2011;F2;19;23;10;94;14,9
Rht3;19/04/2011;2011;F3;20;85;10;84;8,8
Rht3;19/04/2011;2011;F4;0;0;92;37;5,8
Rht3;11/05/2011;2011;F1;2;58;1;82;26,8
Rht3;11/05/2011;2011;F2;7;69;4;87;28,9
Rht3;11/05/2011;2011;F3;5;81;3;24;24,6
Rht3;11/05/2011;2011;F4;9;34;5;39;14,9
Tremie;11/04/2012;2012;F1;10;34;7;15;27,3
Tremie;11/04/2012;2012;F2;12;52;7;22;24,8
Tremie;11/04/2012;2012;F3;10;56;5;36;17
Tremie;11/04/2012;2012;F4;13;15;8;87;12,9
Tremie;11/04/2012;2012;T;NA;NA;222;3;NA
Tremie;09/05/2012;2012;F1;8;84;5;49;18,2
Tremie;09/05/2012;2012;F2;19;23;10;94;26,8
Tremie;09/05/2012;2012;F3;20;85;10;84;26,3
Tremie;09/05/2012;2012;F4;0;0;92;37;20,2
Tremie;09/05/2012;2012;T;NA;NA;349;5;NA
Tremie;25/04/2013;2013;F1;4;17;5;53;26,7
Tremie;25/04/2013;2013;F2;5;16;3;34;20
Tremie;25/04/2013;2013;F3;7;9;3;69;13,1
Tremie;25/04/2013;2013;F4;11;16;6;12;8,1
Tremie;25/04/2013;2013;T;3;12;1;59;NA
Tremie;17/05/2013;2013;F1;10;77;8;73;19,3
Tremie;17/05/2013;2013;F2;15;99;7;8;30,4
Tremie;17/05/2013;2013;F3;6;8;4;7;27,6
Tremie;17/05/2013;2013;F4;4;51;2;74;21
Tremie;17/05/2013;2013;T;3;12;1;59;NA
